trace_id,pictureCaptured,type,start_time,end_time
694eff227edc3cac248325d45f4fd368,2026-02-10 09:06:18.689737+00:00,analyze,2026-02-10 09:06:18.927473+00:00,2026-02-10T09:06:18.932916394Z
694eff227edc3cac248325d45f4fd368,2026-02-10 09:06:18.689737+00:00,detect,2026-02-10 09:06:18.496630+00:00,2026-02-10T09:06:18.711249043Z
a69815237befe701c3332dcdf35f88dd,2026-02-10 09:05:13.637525+00:00,analyze,2026-02-10 09:05:14.066463+00:00,2026-02-10T09:05:14.072438175Z
a69815237befe701c3332dcdf35f88dd,2026-02-10 09:05:13.637525+00:00,detect,2026-02-10 09:05:13.295768+00:00,2026-02-10T09:05:13.675587357Z
ed9ea495f3f38be4dddf49712ca36342,2026-02-10 09:03:32.380740+00:00,analyze,2026-02-10 09:03:32.542699+00:00,2026-02-10T09:03:32.545948519Z
ed9ea495f3f38be4dddf49712ca36342,2026-02-10 09:03:32.380740+00:00,detect,2026-02-10 09:03:32.256098+00:00,2026-02-10T09:03:32.398062423Z
2d2ed3ada1c55bfa7130e2803e35e31c,2026-02-10 09:02:26.968711+00:00,analyze,2026-02-10 09:02:27.119525+00:00,2026-02-10T09:02:27.123379322Z
2d2ed3ada1c55bfa7130e2803e35e31c,2026-02-10 09:02:26.968711+00:00,detect,2026-02-10 09:02:26.861667+00:00,2026-02-10T09:02:26.988048678Z
f0644ee6da1040ca7fcfe1a68298aedc,2026-02-10 09:06:34.618435+00:00,analyze,2026-02-10 09:06:34.955449+00:00,2026-02-10T09:06:34.959374486Z
f0644ee6da1040ca7fcfe1a68298aedc,2026-02-10 09:06:34.618435+00:00,detect,2026-02-10 09:06:34.487532+00:00,2026-02-10T09:06:34.699252647Z
f0644ee6da1040ca7fcfe1a68298aedc,2026-02-10 09:06:34.618435+00:00,alarmOn,2026-02-10 09:06:34.970353+00:00,2026-02-10T09:06:34.970369767Z
f0644ee6da1040ca7fcfe1a68298aedc,2026-02-10 09:06:34.618435+00:00,alarmOn,2026-02-10 09:06:34.969372+00:00,2026-02-10T09:06:34.96939584Z
017a1a4b23b84833d297c6765eb3aee2,2026-02-10 09:06:58.632713+00:00,analyze,2026-02-10 09:06:58.836101+00:00,2026-02-10T09:06:58.840507867Z
017a1a4b23b84833d297c6765eb3aee2,2026-02-10 09:06:58.632713+00:00,detect,2026-02-10 09:06:58.560504+00:00,2026-02-10T09:06:58.678062876Z
c947a3308fd2cafe8e64ba175ca688cd,2026-02-10 09:04:26.948172+00:00,analyze,2026-02-10 09:04:27.115119+00:00,2026-02-10T09:04:27.118813556Z
c947a3308fd2cafe8e64ba175ca688cd,2026-02-10 09:04:26.948172+00:00,detect,2026-02-10 09:04:26.870709+00:00,2026-02-10T09:04:26.990122027Z
c947a3308fd2cafe8e64ba175ca688cd,2026-02-10 09:04:26.948172+00:00,alarmOn,2026-02-10 09:04:27.129320+00:00,2026-02-10T09:04:27.129349961Z
c947a3308fd2cafe8e64ba175ca688cd,2026-02-10 09:04:26.948172+00:00,alarmOn,2026-02-10 09:04:27.131213+00:00,2026-02-10T09:04:27.131226959Z
aa61e0625573a0adafabe0a821d0c415,2026-02-10 09:04:55.040131+00:00,analyze,2026-02-10 09:04:55.322670+00:00,2026-02-10T09:04:55.328683261Z
aa61e0625573a0adafabe0a821d0c415,2026-02-10 09:04:55.040131+00:00,detect,2026-02-10 09:04:54.884176+00:00,2026-02-10T09:04:55.09944623Z
08b0958f44c3d04b198bcba2b816f7ac,2026-02-10 09:04:05.009548+00:00,analyze,2026-02-10 09:04:05.167209+00:00,2026-02-10T09:04:05.17060579Z
08b0958f44c3d04b198bcba2b816f7ac,2026-02-10 09:04:05.009548+00:00,detect,2026-02-10 09:04:04.924814+00:00,2026-02-10T09:04:05.042972586Z
2718b9641e85931e1c954ccfb6250a14,2026-02-10 09:04:58.289776+00:00,analyze,2026-02-10 09:04:58.598974+00:00,2026-02-10T09:04:58.602776355Z
2718b9641e85931e1c954ccfb6250a14,2026-02-10 09:04:58.289776+00:00,detect,2026-02-10 09:04:58.113012+00:00,2026-02-10T09:04:58.355033551Z
2718b9641e85931e1c954ccfb6250a14,2026-02-10 09:04:58.289776+00:00,alarmOn,2026-02-10 09:04:58.611868+00:00,2026-02-10T09:04:58.611901761Z
2718b9641e85931e1c954ccfb6250a14,2026-02-10 09:04:58.289776+00:00,alarmOn,2026-02-10 09:04:58.611451+00:00,2026-02-10T09:04:58.611465395Z
7b0259a410f341bc5f111bba2363bcd7,2026-02-10 09:06:53.179531+00:00,analyze,2026-02-10 09:06:53.414387+00:00,2026-02-10T09:06:53.419990603Z
7b0259a410f341bc5f111bba2363bcd7,2026-02-10 09:06:53.179531+00:00,detect,2026-02-10 09:06:53.035023+00:00,2026-02-10T09:06:53.219959238Z
9a69cf256d23c5b57a8916f3c3267129,2026-02-10 09:06:54.327868+00:00,analyze,2026-02-10 09:06:54.543725+00:00,2026-02-10T09:06:54.547253214Z
9a69cf256d23c5b57a8916f3c3267129,2026-02-10 09:06:54.327868+00:00,detect,2026-02-10 09:06:54.249382+00:00,2026-02-10T09:06:54.396009509Z
3d333a45a50bb2883e1b4f2f5e5a9ab1,2026-02-10 09:04:57.200448+00:00,analyze,2026-02-10 09:04:57.498151+00:00,2026-02-10T09:04:57.504104013Z
3d333a45a50bb2883e1b4f2f5e5a9ab1,2026-02-10 09:04:57.200448+00:00,detect,2026-02-10 09:04:57.066999+00:00,2026-02-10T09:04:57.277672941Z
c356269fb5088e69f1ad833ca921961f,2026-02-10 09:08:26.268678+00:00,analyze,2026-02-10 09:08:26.456726+00:00,2026-02-10T09:08:26.460841892Z
c356269fb5088e69f1ad833ca921961f,2026-02-10 09:08:26.268678+00:00,detect,2026-02-10 09:08:26.197407+00:00,2026-02-10T09:08:26.325635555Z
99a8b42bb7fea0d5bc1a225e97f927e7,2026-02-10 09:02:31.691615+00:00,analyze,2026-02-10 09:02:31.864019+00:00,2026-02-10T09:02:31.867244733Z
99a8b42bb7fea0d5bc1a225e97f927e7,2026-02-10 09:02:31.691615+00:00,detect,2026-02-10 09:02:31.616791+00:00,2026-02-10T09:02:31.738666234Z
abe9e32cb5feaf4f4d986cf0af22f843,2026-02-10 09:08:32.428515+00:00,analyze,2026-02-10 09:08:32.624090+00:00,2026-02-10T09:08:32.628146407Z
abe9e32cb5feaf4f4d986cf0af22f843,2026-02-10 09:08:32.428515+00:00,detect,2026-02-10 09:08:32.337304+00:00,2026-02-10T09:08:32.478631519Z
6e3737c7c12259be13e7d9f7102eceec,2026-02-10 09:02:32.759517+00:00,analyze,2026-02-10 09:02:33.041947+00:00,2026-02-10T09:02:33.045602021Z
6e3737c7c12259be13e7d9f7102eceec,2026-02-10 09:02:32.759517+00:00,detect,2026-02-10 09:02:32.595798+00:00,2026-02-10T09:02:32.814698193Z
bedbe6e39a76c46b52032191a6a188f4,2026-02-10 09:02:37.020905+00:00,analyze,2026-02-10 09:02:37.184534+00:00,2026-02-10T09:02:37.187807817Z
bedbe6e39a76c46b52032191a6a188f4,2026-02-10 09:02:37.020905+00:00,detect,2026-02-10 09:02:36.929564+00:00,2026-02-10T09:02:37.05459272Z
c98deda2c7a29d94003a32d090d726f3,2026-02-10 09:02:57.198991+00:00,analyze,2026-02-10 09:02:57.411278+00:00,2026-02-10T09:02:57.417312172Z
c98deda2c7a29d94003a32d090d726f3,2026-02-10 09:02:57.198991+00:00,detect,2026-02-10 09:02:57.086015+00:00,2026-02-10T09:02:57.244492789Z
ca5f4c4279a8b8dbd4b748c49f2c211d,2026-02-10 09:06:19.730326+00:00,analyze,2026-02-10 09:06:20.524042+00:00,2026-02-10T09:06:20.533660825Z
ca5f4c4279a8b8dbd4b748c49f2c211d,2026-02-10 09:06:19.730326+00:00,detect,2026-02-10 09:06:19.001575+00:00,2026-02-10T09:06:19.754509011Z
695158ff274635b09483bca22e07186a,2026-02-10 09:04:56.119426+00:00,analyze,2026-02-10 09:04:56.451183+00:00,2026-02-10T09:04:56.454504136Z
695158ff274635b09483bca22e07186a,2026-02-10 09:04:56.119426+00:00,detect,2026-02-10 09:04:55.922512+00:00,2026-02-10T09:04:56.185900398Z
3b9e1588c2aeeb13ed532fe98dd381b0,2026-02-10 09:08:33.488786+00:00,analyze,2026-02-10 09:08:33.681045+00:00,2026-02-10T09:08:33.684553268Z
3b9e1588c2aeeb13ed532fe98dd381b0,2026-02-10 09:08:33.488786+00:00,detect,2026-02-10 09:08:33.387912+00:00,2026-02-10T09:08:33.533897422Z
cb23c998a57faf0427f7a66955523893,2026-02-10 09:06:28.337416+00:00,analyze,2026-02-10 09:06:28.483548+00:00,2026-02-10T09:06:28.487002766Z
cb23c998a57faf0427f7a66955523893,2026-02-10 09:06:28.337416+00:00,detect,2026-02-10 09:06:28.241910+00:00,2026-02-10T09:06:28.360695458Z
2a88943b75587461ceb3379c3df98143,2026-02-10 09:08:34.697721+00:00,analyze,2026-02-10 09:08:34.924712+00:00,2026-02-10T09:08:34.928053355Z
2a88943b75587461ceb3379c3df98143,2026-02-10 09:08:34.697721+00:00,detect,2026-02-10 09:08:34.605898+00:00,2026-02-10T09:08:34.744823439Z
47171702341e4cfccdcd56185f794a6f,2026-02-10 09:03:33.419309+00:00,analyze,2026-02-10 09:03:33.649778+00:00,2026-02-10T09:03:33.653116541Z
47171702341e4cfccdcd56185f794a6f,2026-02-10 09:03:33.419309+00:00,detect,2026-02-10 09:03:33.271269+00:00,2026-02-10T09:03:33.459830573Z
e214139a54528642652a285cddd6e304,2026-02-10 09:04:07.138412+00:00,analyze,2026-02-10 09:04:07.286902+00:00,2026-02-10T09:04:07.289962426Z
e214139a54528642652a285cddd6e304,2026-02-10 09:04:07.138412+00:00,detect,2026-02-10 09:04:07.034979+00:00,2026-02-10T09:04:07.159483366Z
cd28da5b2b2eff5015c5d0f27d724be0,2026-02-10 09:02:57.362967+00:00,analyze,2026-02-10 09:02:57.577558+00:00,2026-02-10T09:02:57.581185793Z
cd28da5b2b2eff5015c5d0f27d724be0,2026-02-10 09:02:57.362967+00:00,detect,2026-02-10 09:02:57.285371+00:00,2026-02-10T09:02:57.409663793Z
6d3fd3d76368a503e3ba9e0937d7d918,2026-02-10 09:07:57.178759+00:00,analyze,2026-02-10 09:07:57.369690+00:00,2026-02-10T09:07:57.373754277Z
6d3fd3d76368a503e3ba9e0937d7d918,2026-02-10 09:07:57.178759+00:00,detect,2026-02-10 09:07:57.081289+00:00,2026-02-10T09:07:57.218646484Z
6d3fd3d76368a503e3ba9e0937d7d918,2026-02-10 09:07:57.178759+00:00,alarmOn,2026-02-10 09:07:57.392803+00:00,2026-02-10T09:07:57.392824514Z
6d3fd3d76368a503e3ba9e0937d7d918,2026-02-10 09:07:57.178759+00:00,alarmOn,2026-02-10 09:07:57.387550+00:00,2026-02-10T09:07:57.387574214Z
7bc1f89b8ae0186586b782e3dbdd2b77,2026-02-10 09:06:52.119296+00:00,analyze,2026-02-10 09:06:52.412337+00:00,2026-02-10T09:06:52.419469751Z
7bc1f89b8ae0186586b782e3dbdd2b77,2026-02-10 09:06:52.119296+00:00,detect,2026-02-10 09:06:51.936428+00:00,2026-02-10T09:06:52.166859646Z
c707cbcaa7cf2dcef462f857ef07bb60,2026-02-10 09:04:06.060043+00:00,analyze,2026-02-10 09:04:06.241257+00:00,2026-02-10T09:04:06.244503793Z
c707cbcaa7cf2dcef462f857ef07bb60,2026-02-10 09:04:06.060043+00:00,detect,2026-02-10 09:04:06.003326+00:00,2026-02-10T09:04:06.121288837Z
53cbd53e678475d4137cad780309b819,2026-02-10 09:08:28.388683+00:00,analyze,2026-02-10 09:08:28.593545+00:00,2026-02-10T09:08:28.598365743Z
53cbd53e678475d4137cad780309b819,2026-02-10 09:08:28.388683+00:00,detect,2026-02-10 09:08:28.309854+00:00,2026-02-10T09:08:28.43202743Z
98531aafb19e047bac4b907f0bcf9feb,2026-02-10 09:08:16.719949+00:00,analyze,2026-02-10 09:08:16.989155+00:00,2026-02-10T09:08:16.994351622Z
98531aafb19e047bac4b907f0bcf9feb,2026-02-10 09:08:16.719949+00:00,detect,2026-02-10 09:08:16.600089+00:00,2026-02-10T09:08:16.79248221Z
4364b29533c56007ea7acbf23b2d4ce7,2026-02-10 09:05:45.087728+00:00,analyze,2026-02-10 09:05:45.257242+00:00,2026-02-10T09:05:45.260801258Z
4364b29533c56007ea7acbf23b2d4ce7,2026-02-10 09:05:45.087728+00:00,detect,2026-02-10 09:05:44.994886+00:00,2026-02-10T09:05:45.120463861Z
0b717c951fe5248f88b8958413625998,2026-02-10 09:08:31.537758+00:00,analyze,2026-02-10 09:08:31.734251+00:00,2026-02-10T09:08:31.737995548Z
